RDMD_ID,Region,"Household ID","H5 - Reported incident to authority","I4 - Type of construction materials of the floor","I7 - Presence electricity in the building/house"
1,17,511003400900500500044," ",1,1
2,17,511003400900500070006," ",1,1
3,17,511003400900502740247," ",1,1
4,17,511003400900501780159," ",1,1
5,17,511003400900500400037," ",1,1
6,17,511003400900500170016," ",1,1
7,17,511003400900502260205," ",1,1
8,17,511003400900500240021," ",1,1
9,17,511003400900501620143," ",1,1
10,17,511003400900500660057," ",1,1
11,17,511003400900502420219," ",1,1
12,17,511003400900502580233," ",1,1
13,17,511003400900500340031," ",1,1
14,17,511003400900500980085," ",1,1
15,17,511003400900502100189," ",1,1
16,17,591100600000001280116," ",1,1
17,17,591100600000002080188," ",1,1
18,17,591100600000000310029," ",1,1
19,17,591100600000000020002," ",1,2
20,17,591100600000001880169," ",1,1
21,17,591100600000001080097," ",1,1
22,17,591100600000002688001," ",1,1
23,17,591100600000002280206," ",1,1
24,17,591100600000003080270," ",1,1
25,17,591100600000003870338," ",1,1
26,17,591100600000000460043," ",1,1
27,17,591100600000002480225," ",1,1
28,17,591100600000001480136," ",5,1
29,17,591100600000001680154," ",1,1
30,17,591100600000000060006," ",1,1
31,17,591100600000003280287," ",1,1
32,17,591100600000000670063," ",1,1
33,17,591100600000000870079," ",1,2
34,17,511001800600101260107," ",1,1
35,17,511001800600103220276," ",1,1
36,17,511001800600103400294," ",1,1
37,17,511001800600100560048," ",1,1
38,17,511001800600101440122," ",1,1
39,17,511001800600101970169," ",1,1
40,17,511001800600100370030," ",1,1
41,17,511001800600100100007," ",1,1
42,17,511001800600103740318," ",1,1
43,17,511001800600102680230," ",1,1
44,17,511001800600100490042," ",1,1
45,17,511001800600102330197," ",1,1
46,17,511001800600100180014," ",2,1
47,17,511001800600101080091," ",1,1
48,17,511001800600103040259," ",1,1
49,17,511001800600104280367," ",1,1
50,17,511002600500400130012," ",1,1
51,17,511002600500402800273," ",1,1
52,17,511002600500402440237," ",1,1
53,17,511002600500403330317," ",1,1
54,17,511002600500402620255," ",1,1
55,17,511002600500400690069," ",1,1
56,17,511002600500400230022," ",1,1
57,17,511002600500404040377," ",1,1
58,17,511002600500403690349," ",1,1
59,17,511002600500402100205," ",1,1
60,17,511002600500401228001," ",1,1
61,17,511002600500401390135," ",1,1
62,17,511002600500403860362," ",1,1
63,17,511002600500401920183," ",1,1
64,17,511002600500403160304," ",1,1
65,17,511002600500400330032," ",1,1
66,17,511002600500401570151," ",1,1
67,17,511002600500402280220," ",1,1
68,17,511002600500404390403," ",5,1
69,17,511002600500400510050," ",5,1
70,17,511002600500403510332," ",1,1
71," 9",730704000000000300032," ",1,1
72," 9",730704000000001000103," ",1,1
73," 9",730704000000000488001," ",1,1
74," 9",730704000000001170122," ",1,1
75," 9",730704000000000120014," ",1,1
76," 9",730704000000000650067," ",1,1
77," 9",730704000000000830086," ",1,1
78,16,672406700000000280024," ",1,1
79,16,672406700000001410118," ",1,1
80,16,672406700000002550223," ",1,1
81,16,672406700000002170190," ",5,2
82,16,672406700000000460042," ",1,1
83,16,672406700000000260022," ",1,1
84,16,672406700000001980172," ",2,1
85,16,672406700000000650060," ",1,1
86,16,672406700000000848001," ",5,2
87,16,672406700000001220102," ",5,1
88,16,672406700000002740241," ",2,1
89,16,672406700000001030087," ",1,1
90,16,672406700000001790154," ",1,2
91,16,672406700000000030002," ",1,1
92," 6",450104902601501140097," ",1,1
93," 6",450104902601500538001," ",1,1
94," 6",450104902601500740063," ",1,1
95," 6",450104902601500320030," ",1,1
96," 6",450104902601501740150," ",1,1
97," 6",450104902601502340200," ",1,1
98," 6",450104902601502540214," ",1,1
99," 6",450104902601500218003," ",1,1
100," 6",450104902601500940081," ",1,1
101," 6",450104902601501948002," ",1,1
102," 6",450104902601500110011," ",1,1
103," 2",152000100000000690061," ",1,1
104," 2",152000100000002050195," ",1,1
105," 2",152000100000000860078," ",5,1
106," 2",152000100000001370129," ",1,1
107," 2",152000100000000180015," ",1,1
108," 2",152000100000001880179," ",1,1
109," 2",152000100000000350031," ",1,1
110," 2",152000100000001030095," ",1,1
111," 2",152000100000000090008," ",1,1
112," 2",152000100000000260022," ",1,1
113," 2",152000100000001200112," ",1,1
114," 2",152000100000001710162," ",1,1
115," 2",152000100000001540146," ",1,1
116," 5",201100800000000198003," ",1,1
117," 5",201100800000000880083," ",1,1
118," 5",201100800000000110010," ",1,1
119," 5",201100800000001120106," ",1,1
120," 5",201100800000000760071," ",1,1
121," 5",201100800000000530050," ",1,1
122," 5",201100800000001008002," ",1,1
123," 5",201100800000000418001," ",1,1
124," 5",201100800000000330031," ",5,1
125," 5",160201400100002618001," ",1,1
126," 5",160201400100001180108," ",1,1
127," 5",160201400100002240211," ",1,1
128," 5",160201400100000250024," ",1,1
129," 5",160201400100000980089," ",1,1
130," 5",160201400100003220301," ",1,1
131," 5",160201400100002440231," ",1,1
132," 5",160201400100002020185," ",1,1
133," 5",160201400100003420321," ",2,1
134," 5",160201400100000050005," ",1,1
135," 5",160201400100000170016," ",1,1
136," 5",160201400100003020284," ",1,1
137," 5",160201400100001820165," ",1,1
138," 5",160201400100002810263," ",2,1
139," 5",160201400100000450043," ",1,1
140," 5",160201400100001380127," ",1,1
141," 5",160201400100003620343," ",1,1
142," 3",540201200500000030003," ",2,1
143," 3",540201200500000230024," ",1,1
144," 3",540201200500000430045," ",1,1
145," 3",540201200500000630069," ",1,1
146," 3",540201200500001230139," ",5,1
147," 3",540201200500001230140," ",1,1
148," 3",540201200500001830204," ",1,1
149," 3",540201200500000010001," ",1,1
150," 3",540201200500000210020," ",1,1
151," 3",540201200500000210021," ",1,1
152," 3",540201200500000210022," ",1,1
153," 3",540201200500001438001," ",1,1
154," 3",540201200500000410043," ",5,1
155,14,010600600000001420139," ",4,1
156,14,010600600000000080007," ",4,1
157,14,010600600000000230023," ",1,1
158,14,010600600000000220022," ",2,1
159,14,010600600000001300128," ",1,1
160,14,010600600000000470045," ",4,1
161,14,010600600000001060103," ",1,1
162,14,010600600000000590058," ",1,1
163,14,010600600000000940091," ",1,1
164,14,010600600000000710071," ",5,1
165,14,010600600000001540146," ",1,1
166,14,010600600000000820080," ",1,1
167,16,850601200200001180094," ",1,1
168,16,850601200200000050004," ",2,1
169,16,850601200200000070006," ",1,1
170,16,850601200200000520042," ",1,1
171,16,850601200200000740063," ",1,1
172,16,850601200200001620129," ",5,1
173,16,850601200200001400115," ",1,1
174,16,850601200200000290026," ",1,1
175,16,850601200200001188001," ",2,1
176,16,850601200200000300027," ",1,1
177,16,680300900900001400135," ",1,1
178,16,680300900900001040103," ",1,1
179,16,680300900900003410329," ",2,1
180,16,680300900900003050296," ",2,1
181,16,680300900900003230311," ",1,1
182,16,680300900900000700069," ",2,1
183,16,680300900900002690266," ",2,1
184,16,680300900900000170016," ",2,1
185,16,680300900900001630169," ",2,1
186,16,680300900900002870280," ",2,1
187,16,680300900900002518002," ",2,1
188,16,680300900900001810185," ",2,1
189,16,680300900900000888004," ",2,1
190,16,680300900900000160015," ",1,1
191,16,680300900900003760153," ",2,1
192,16,680300900900002160214," ",2,1
193,16,680300900900002008001," ",5,1
194,16,680300900900000528003," ",1,1
195,16,680300900900000340033," ",2,1
