RDMD_ID,Region,"Household ID","J1 - Family's main source of water supply","WS1 - Family's main source of drinking water","WS2 - Family's main source of water used for other purposes"
1,17,511003400900500500044,01,72,11
2,17,511003400900500070006,01,72,11
3,17,511003400900502740247,01,72,11
4,17,511003400900501780159,01,72,11
5,17,511003400900500400037,01,72,11
6,17,511003400900500170016,01,72,11
7,17,511003400900502260205,01,72,11
8,17,511003400900500240021,01,72,11
9,17,511003400900501620143,01,72,11
10,17,511003400900500660057,04,72,21
11,17,511003400900502420219,01,72,11
12,17,511003400900502580233,04,72,21
13,17,511003400900500340031,01,72,11
14,17,511003400900500980085,01,72,11
15,17,511003400900502100189,04,72,21
16,17,591100600000001280116,03,72,14
17,17,591100600000002080188,05,72,31
18,17,591100600000000310029,01,11,"  "
19,17,591100600000000020002,01,11,"  "
20,17,591100600000001880169,01,11,"  "
21,17,591100600000001080097,03,72,72
22,17,591100600000002688001,01,72,11
23,17,591100600000002280206,01,11,"  "
24,17,591100600000003080270,01,72,11
25,17,591100600000003870338,04,12,"  "
26,17,591100600000000460043,01,72,11
27,17,591100600000002480225,01,41,"  "
28,17,591100600000001480136,03,21,"  "
29,17,591100600000001680154,03,72,12
30,17,591100600000000060006,01,72,11
31,17,591100600000003280287,03,41,"  "
32,17,591100600000000670063,01,11,"  "
33,17,591100600000000870079,06,41,"  "
34,17,511001800600101260107,02,72,21
35,17,511001800600103220276,04,72,72
36,17,511001800600103400294,04,72,21
37,17,511001800600100560048,04,21,"  "
38,17,511001800600101440122,04,72,21
39,17,511001800600101970169,04,72,21
40,17,511001800600100370030,04,21,"  "
41,17,511001800600100100007,02,72,21
42,17,511001800600103740318,04,72,21
43,17,511001800600102680230,04,72,21
44,17,511001800600100490042,04,72,21
45,17,511001800600102330197,04,72,21
46,17,511001800600100180014,02,72,12
47,17,511001800600101080091,04,72,21
48,17,511001800600103040259,04,72,21
49,17,511001800600104280367,01,72,11
50,17,511002600500400130012,01,72,11
51,17,511002600500402800273,01,72,11
52,17,511002600500402440237,01,72,11
53,17,511002600500403330317,01,72,11
54,17,511002600500402620255,01,72,11
55,17,511002600500400690069,01,72,11
56,17,511002600500400230022,01,72,11
57,17,511002600500404040377,04,72,21
58,17,511002600500403690349,01,72,11
59,17,511002600500402100205,01,72,11
60,17,511002600500401228001,04,72,21
61,17,511002600500401390135,01,72,11
62,17,511002600500403860362,01,72,11
63,17,511002600500401920183,01,72,11
64,17,511002600500403160304,01,72,11
65,17,511002600500400330032,01,72,11
66,17,511002600500401570151,01,72,11
67,17,511002600500402280220,01,72,11
68,17,511002600500404390403,02,11,"  "
69,17,511002600500400510050,02,72,12
70,17,511002600500403510332,04,72,21
71," 9",730704000000000300032,02,72,31
72," 9",730704000000001000103,04,72,21
73," 9",730704000000000488001,04,21,"  "
74," 9",730704000000001170122,05,72,31
75," 9",730704000000000120014,04,72,21
76," 9",730704000000000650067,01,72,31
77," 9",730704000000000830086,04,11,"  "
78,16,672406700000000280024,05,14,"  "
79,16,672406700000001410118,01,11,"  "
80,16,672406700000002550223,01,72,11
81,16,672406700000002170190,03,14,"  "
82,16,672406700000000460042,01,72,11
83,16,672406700000000260022,01,41,"  "
84,16,672406700000001980172,05,31,"  "
85,16,672406700000000650060,03,14,"  "
86,16,672406700000000848001,02,12,"  "
87,16,672406700000001220102,03,72,13
88,16,672406700000002740241,01,72,11
89,16,672406700000001030087,01,11,"  "
90,16,672406700000001790154,02,12,"  "
91,16,672406700000000030002,05,72,32
92," 6",450104902601501140097,01,11,"  "
93," 6",450104902601500538001,01,11,"  "
94," 6",450104902601500740063,01,11,"  "
95," 6",450104902601500320030,01,11,"  "
96," 6",450104902601501740150,01,11,"  "
97," 6",450104902601502340200,01,11,"  "
98," 6",450104902601502540214,01,11,"  "
99," 6",450104902601500218003,01,72,11
100," 6",450104902601500940081,01,11,"  "
101," 6",450104902601501948002,01,11,"  "
102," 6",450104902601500110011,01,11,"  "
103," 2",152000100000000690061,01,72,11
104," 2",152000100000002050195,01,11,"  "
105," 2",152000100000000860078,01,11,"  "
106," 2",152000100000001370129,01,11,"  "
107," 2",152000100000000180015,04,21,"  "
108," 2",152000100000001880179,01,11,"  "
109," 2",152000100000000350031,01,72,72
110," 2",152000100000001030095,01,11,"  "
111," 2",152000100000000090008,04,21,"  "
112," 2",152000100000000260022,01,11,"  "
113," 2",152000100000001200112,01,11,"  "
114," 2",152000100000001710162,01,11,"  "
115," 2",152000100000001540146,01,11,"  "
116," 5",201100800000000198003,01,72,11
117," 5",201100800000000880083,04,21,"  "
118," 5",201100800000000110010,01,12,"  "
119," 5",201100800000001120106,01,72,11
120," 5",201100800000000760071,01,12,"  "
121," 5",201100800000000530050,01,72,11
122," 5",201100800000001008002,01,72,11
123," 5",201100800000000418001,01,72,11
124," 5",201100800000000330031,07,42,"  "
125," 5",160201400100002618001,04,91,31
126," 5",160201400100001180108,04,91,32
127," 5",160201400100002240211,05,91,31
128," 5",160201400100000250024,04,91,32
129," 5",160201400100000980089,01,91,31
130," 5",160201400100003220301,04,13,"  "
131," 5",160201400100002440231,04,91,31
132," 5",160201400100002020185,05,91,32
133," 5",160201400100003420321,05,12,"  "
134," 5",160201400100000050005,04,91,31
135," 5",160201400100000170016,04,91,31
136," 5",160201400100003020284,05,91,32
137," 5",160201400100001820165,04,91,32
138," 5",160201400100002810263,04,91,31
139," 5",160201400100000450043,04,72,31
140," 5",160201400100001380127,04,72,11
141," 5",160201400100003620343,04,91,21
142," 3",540201200500000030003,01,72,11
143," 3",540201200500000230024,01,72,11
144," 3",540201200500000430045,01,72,11
145," 3",540201200500000630069,01,72,11
146," 3",540201200500001230139,01,72,11
147," 3",540201200500001230140,01,11,"  "
148," 3",540201200500001830204,01,72,11
149," 3",540201200500000010001,01,72,11
150," 3",540201200500000210020,01,11,"  "
151," 3",540201200500000210021,01,72,11
152," 3",540201200500000210022,01,72,11
153," 3",540201200500001438001,01,72,11
154," 3",540201200500000410043,01,11,"  "
155,14,010600600000001420139,06,41,"  "
156,14,010600600000000080007,06,11,"  "
157,14,010600600000000230023,06,12,"  "
158,14,010600600000000220022,06,41,"  "
159,14,010600600000001300128,06,72,41
160,14,010600600000000470045,06,41,"  "
161,14,010600600000001060103,06,11,"  "
162,14,010600600000000590058,06,11,"  "
163,14,010600600000000940091,06,11,"  "
164,14,010600600000000710071,06,11,"  "
165,14,010600600000001540146,06,11,"  "
166,14,010600600000000820080,06,11,"  "
167,16,850601200200001180094,02,12,"  "
168,16,850601200200000050004,07,42,"  "
169,16,850601200200000070006,01,72,11
170,16,850601200200000520042,02,72,12
171,16,850601200200000740063,02,11,"  "
172,16,850601200200001620129,02,12,"  "
173,16,850601200200001400115,01,11,"  "
174,16,850601200200000290026,07,72,42
175,16,850601200200001188001,01,11,"  "
176,16,850601200200000300027,07,42,"  "
177,16,680300900900001400135,01,11,"  "
178,16,680300900900001040103,01,11,"  "
179,16,680300900900003410329,01,11,"  "
180,16,680300900900003050296,01,11,"  "
181,16,680300900900003230311,01,11,"  "
182,16,680300900900000700069,01,11,"  "
183,16,680300900900002690266,01,11,"  "
184,16,680300900900000170016,01,11,"  "
185,16,680300900900001630169,01,11,"  "
186,16,680300900900002870280,01,11,"  "
187,16,680300900900002518002,01,11,"  "
188,16,680300900900001810185,01,11,"  "
189,16,680300900900000888004,01,11,"  "
190,16,680300900900000160015,01,11,"  "
191,16,680300900900003760153,02,12,"  "
192,16,680300900900002160214,01,11,"  "
193,16,680300900900002008001,01,11,"  "
194,16,680300900900000528003,01,11,"  "
195,16,680300900900000340033,01,11,"  "
196,16,680300900900001860232,01,11,"  "
197,16,672404100300001010096,04,72,31
198,16,672404100300001150109,04,72,31
199,16,672404100300001880173,01,72,11
200,16,672404100300000870083,01,11,"  "
201,16,672404100300000130012,01,72,11
202,16,672404100300003380318,01,72,11
203,16,672404100300002888002,01,72,11
204,16,672404100300003160295,01,72,11
205,16,672404100300001590147,04,72,31
206,16,672404100300002028001,01,72,11
207,16,672404100300002310213,01,72,11
208,16,672404100300002170200,01,72,11
209,16,672404100300003598003,01,72,72
210,16,672404100300000140013,01,72,11
211,16,672404100300003030281,01,72,11
212,16,672404100300000290027,01,72,11
213,16,672404100300002740252,01,72,11
214,16,672404100300003490331,01,72,11
215,16,672404100300001300124,01,72,11
216,16,030601200200001720172,05,72,32
217,16,030601200200001900190,05,72,32
218,16,030601200200001180118,05,72,32
219,16,030601200200000820082,01,72,11
220,16,030601200200002800280,05,72,32
