ISO3,Country / Territory,Year,Event Name,Date of Event (start),Disaster Internal Displacements,Disaster Internal Displacements (Raw),Hazard Category,Hazard Type,Hazard Sub Type,Event Codes (Code:Type)
PHL,Philippines,2020,Philippines: Flash flood - South Cotabato (Koronadal) - 28/07/2020,2020-07-28,900,905,Weather related,Flood,Flood,
PHL,Philippines,2020,Philippines: Tornado - Bulacan (Pulilan) - 06/07/2020,2020-07-06,25,25,Weather related,Storm,Tornado,
PHL,Philippines,2020,Philippines: Tornado - Pangasinan (Basista) - 14/05/2020,2020-05-14,50,50,Weather related,Storm,Tornado,
PHL,Philippines,2020,Philippines: Tornado - Sultan Kudarat (President Quirino) - 07/06/2020,2020-06-07,130,127,Weather related,Storm,Tornado,
PHL,Philippines,2020,"Philippines: Volcanic Eruption (Mount Taal) - Calabarzon, NCR, Central Luzon, MIMAROPA - 12/01/2020",2020-01-12,506000,505922,Geophysical,Volcanic activity,Volcanic activity,
PHL,Philippines,2020,Philippines: Flash flood - Sultan Kudarat (Bagumbayan) - 14/09/2020,2020-09-14,25,25,Weather related,Flood,Flood,
PHL,Philippines,2020,Philippines: Tornado - Pangasinan (Bayambang) - 27/04/2020,2020-04-27,100,100,Weather related,Storm,Tornado,
PHL,Philippines,2020,Philippines: Typhoon Vongfong (Ambo) - 9 regions - 10/05/2020,2020-05-10,298000,298091,Weather related,Storm,Typhoon/Hurricane/Cyclone,
PHL,Philippines,2020,Philippines: Flash flood - Davao del Sur (Digos) - 28/06/2020,2020-06-28,1800,1772,Weather related,Flood,Flood,
PHL,Philippines,2020,Philippines: Flash flood - Zamboanga (Zamboanga Sibugay) - 24/06/2020,2020-06-24,13,13,Weather related,Flood,Flood,
PHL,Philippines,2020,Philippines: Dry mass movement - Negros Occidental (Bago) -  24/06/2020,2020-06-24,76,76,Geophysical,Mass Movement,Dry mass movement,
PHL,Philippines,2020,Philippines: Flood - Culasi (Antique) - 15/09/2020,2020-09-15,30,30,Weather related,Flood,Flood,
PHL,Philippines,2020,Philippines: Soil erosion - Lanao del Sur (Marawi city) - 2020 ,2020-08-09,4400,4428,Weather related,Mass Movement,Landslide/Wet mass movement,
PHL,Philippines,2020,Philippines: Earthquake - Bicol (Masbate) - 18/08/2020,2020-08-18,1400,1369,Geophysical,Earthquake,Earthquake,
PHL,Philippines,2020,Philippines: Flash flood - Zamboanga (Zamboanga Sibugay) - 31/07/2020,2020-07-31,640,645,Weather related,Flood,Flood,
PHL,Philippines,2020,Philippines: Flash flood - Davao (Davao de Oro) - 13/08/2020,2020-08-13,1600,1650,Weather related,Flood,Flood,
PHL,Philippines,2020,Philippines: Whirlwind - Misamis Occidental (Tudela) - 05/08/2020,2020-08-05,460,461,Weather related,Storm,Tornado,
PHL,Philippines,2020,Philippines: Flood - Western Visayas (Negros Occidental) - 31/07/2020,2020-07-31,460,463,Weather related,Flood,Flood,
PHL,Philippines,2020,Philippines: Flash flood - Davao del Sur (Davao city) - 04/08/2020,2020-08-04,930,933,Weather related,Flood,Flood,
PHL,Philippines,2020,Philippines: Flash flood - Zamboanga - 09/08/2020,2020-08-09,170,169,Weather related,Flood,Flood,
PHL,Philippines,2020,Philippines: Flash flood - Sultan Kudarat (Palimbang) - 15/09/2020 ,2020-09-15,2100,2075,Weather related,Flood,Flood,
PHL,Philippines,2020,Philippines: Flash flood - Zamboanga (Zamboanga city) - 15/09/2020,2020-09-15,270,268,Weather related,Flood,Flood,
PHL,Philippines,2020,Philippines: Storm - South Cotabato (Surallah) - 11/08/2020,2020-08-11,20,20,Weather related,Storm,Storm,
PHL,Philippines,2020,Philippines: Southwest Monsoon enhanced by Tropical Storm Leon - Occidental Mindoro (Magsaysay) - 15/09/2020,2020-09-15,29,29,Weather related,Storm,Storm,
PHL,Philippines,2020,Philippines: Tornado - Sultan Kudarat (Lambayong) - 22/09/2020,2020-09-22,80,80,Weather related,Storm,Tornado,
PHL,Philippines,2020,Philippines: Flash flood - Davao del Sur (Davao City) -19/10/2020,2020-10-19,4100,4094,Weather related,Flood,Flood,
PHL,Philippines,2020,Philippines: Flooding - Cebu - 04/10/2020,2020-10-04,800,800,Weather related,Flood,Flood,
